label,message
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
ham,"If i let you do this, i want you in the house by 8am."
ham,"Haven't seen my facebook, huh? Lol!"
ham,No pic. Please re-send.
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,Kay... Since we are out already 
ham,There bold 2  &lt;#&gt; . Is that yours
ham,THIS IS A LONG FUCKIN SHOWR
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,If I was I wasn't paying attention
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Aight do you still want to get money
ham,Ü mean it's confirmed... I tot they juz say oni... Ok then... 
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
ham,Ding me on ya break fassyole! Blacko from londn
ham,"As in missionary hook up, doggy hook up, standing...|"
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
ham,"I'm in solihull, | do you want anything?"
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
ham,"Yeah, that's fine! It's £6 to get in, is that ok? "
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing
ham,Daddy will take good care of you :)
ham,"Okay, good, no problem, and thanx!"
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.
ham,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)"
ham,Dear how you. Are you ok?
ham,"I call you later, don't have network. If urgnt, sms me."
ham,Sounds like something that someone testing me would sayy
ham,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear...."""
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
ham,Ok ok take care. I can understand.
ham,K.k:)apo k.good movie.
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,Ok lor ü reaching then message me.
ham,I'm freezing and craving ice. Fml
ham,East coast
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,What happen dear. Why you silent. I am tensed
ham,No..its ful of song lyrics..
ham,Jesus armand really is trying to tell everybody he can find
ham,"K, text me when you're on the way"
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
ham,Beauty sleep can help ur pimples too.
ham,Ok i am on the way to home hi hi
ham,Ofcourse I also upload some songs
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,Indeed and by the way it was either or - not both !
ham,I will treasure every moment we spend together...
ham,Yup next stop.
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham,No. She's currently in scotland for that.
ham,Ok i am on the way to railway
ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
ham,Ok. Very good. Its all about making that money.
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
ham,Yes we are chatting too.
ham,When u wana see it then
ham,* Thought I didn't see you.
ham,Hanging out with my brother and his family
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
ham,"Jus chillaxin, what up"
ham,"Yup, leaving right now, be back soon"
ham,Dunno lei he neva say...
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
ham,Great. Have a safe trip. Dont panic surrender all.
ham,Did u receive my msg?
ham,Remember to ask alex about his pizza
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
ham,Check wid corect speling i.e. Sarcasm
ham,Dear where you will be when i reach there
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
ham, and  picking them up from various points
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,Yunny i'm walking in citylink now ü faster come down... Me very hungry...
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,"I'm in a meeting, call me later at"
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
ham,I've told him that i've returned it. That should i re order it.
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,God bless.get good sleep my dear...i will pray!
ham,So what u doing today?
ham,i want to grasp your pretty booty :)
ham,Yes.. now only saw your message..
ham,You still coming tonight?
ham,What your plan for pongal?
ham,Hows the pain dear?y r u smiling?
ham,Gettin rdy to ship comp
ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham,Mode men or have you left.
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
ham,"K, wat s tht incident?"
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,"Text me when you get off, don't call, my phones having problems"
ham,Yup ok thanx...
ham,I've sent ü my part..
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg
ham,Wat uniform? In where get?
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,But pls dont play in others life.
ham,I re-met alex nichols from middle school and it turns out he's dealing!
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,"Haha yeah I see that now, be there in a sec"
ham,So i could kiss and feel you next to me...
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
ham,Ard 4 lor...
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,what is your account number?
ham,"Ya ok, then had dinner?"
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,Are you there in room.
ham,WHO ARE YOU SEEING?
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! "
ham,I will take care of financial problem.i will help:)
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,Ü thk of wat to eat tonight.
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,Hi good mornin.. Thanku wish u d same..
ham,Get ready for  &lt;#&gt;  inches of pleasure...
